[Wed Nov 28 21:03:28.782803 2018] [:error] [pid 10883] [client 201.141.9.252:28986] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 901, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:03:28.782845 2018] [:error] [pid 10883] [client 201.141.9.252:28986] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 917, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:03:28.782851 2018] [:error] [pid 10883] [client 201.141.9.252:28986] PHP Notice:  Undefined index: name_customer in /home/voz/Core/MasterDom.php on line 918, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:03:28.782856 2018] [:error] [pid 10883] [client 201.141.9.252:28986] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 917, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:03:28.782865 2018] [:error] [pid 10883] [client 201.141.9.252:28986] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 901, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:07:54.800823 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 901, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:07:54.800868 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 917, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:07:54.800876 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  Undefined index: name_customer in /home/voz/Core/MasterDom.php on line 918, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:07:54.800882 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 917, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:07:54.800891 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 901, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:08:11.517122 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 901, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:08:11.517159 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 917, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:08:11.517176 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  Undefined index: name_customer in /home/voz/Core/MasterDom.php on line 918, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:08:11.517183 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 917, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:08:11.517191 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 901, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:08:24.879442 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 51
[Wed Nov 28 21:08:24.879474 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 52
[Wed Nov 28 21:08:24.879498 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 184
[Wed Nov 28 21:08:24.880074 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  Only variables should be passed by reference in /home/voz/Core/Database.php on line 188
[Wed Nov 28 21:08:25.014172 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  Undefined variable: message in /home/voz/App/controllers/Login.php on line 30
[Wed Nov 28 21:08:35.091401 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  Undefined variable: message in /home/voz/App/controllers/Login.php on line 30
[Wed Nov 28 21:08:35.091424 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  Undefined variable: extraHeader in /home/voz/App/controllers/Login.php on line 31
[Wed Nov 28 21:08:59.077006 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 51, referer: https://voz.amovil.mx/login
[Wed Nov 28 21:08:59.077028 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 52, referer: https://voz.amovil.mx/login
[Wed Nov 28 21:08:59.077043 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 184, referer: https://voz.amovil.mx/login
[Wed Nov 28 21:08:59.077190 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  Only variables should be passed by reference in /home/voz/Core/Database.php on line 188, referer: https://voz.amovil.mx/login
[Wed Nov 28 21:08:59.077203 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/App/controllers/Login.php on line 47, referer: https://voz.amovil.mx/login
[Wed Nov 28 21:08:59.077213 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  Undefined index: id_user in /home/voz/App/controllers/Login.php on line 78, referer: https://voz.amovil.mx/login
[Wed Nov 28 21:08:59.077218 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  Undefined index: name_customer in /home/voz/App/controllers/Login.php on line 80, referer: https://voz.amovil.mx/login
[Wed Nov 28 21:08:59.253273 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 901, referer: https://voz.amovil.mx/login
[Wed Nov 28 21:08:59.253302 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 917, referer: https://voz.amovil.mx/login
[Wed Nov 28 21:08:59.253318 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  Undefined index: name_customer in /home/voz/Core/MasterDom.php on line 918, referer: https://voz.amovil.mx/login
[Wed Nov 28 21:08:59.253323 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 917, referer: https://voz.amovil.mx/login
[Wed Nov 28 21:08:59.253332 2018] [:error] [pid 7233] [client 201.141.9.252:53890] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 901, referer: https://voz.amovil.mx/login
